Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from {fd}
Compute Ranks
Output Ranks
97 (0.0017248999741166936, 'RUH') King Khaled Intl, Saudi Arabia
98 (0.0016878784409533232, 'SLC') Salt Lake City Intl, United States
99 (0.0016498605560136105, 'ADD') Bole Intl, Ethiopia
100 (0.0016434636811160468, 'PDX') Portland Intl, United States
101 (0.001643261316149022, 'BWI') Baltimore Washington Intl, United States
102 (0.001640090008718473, 'URC') Diwopu, China
103 (0.0016325373664965715, 'CSX') Huanghua, China
104 (0.0016301364583640224, 'CUN') Cancun Intl, Mexico
105 (0.0016269366686317759, 'TAO') Liuting, China
106 (0.0016129103777612877, 'LGA') La Guardia, United States
107 (0.0016127380580563421, 'PER') Perth Intl, Australia
108 (0.0016070514243615062, 'MDW') Chicago Midway Intl, United States
109 (0.0016068602086277517, 'THR') Mehrabad Intl, Iran
110 (0.001601807178261386, 'GVA') Geneve Cointrin, Switzerland
111 (0.001597454989765055, 'WUH') Tianhe, China
112 (0.0015816374228542417, 'KIX') Kansai, Japan
113 (0.001572906752774752, 'PRG') Ruzyne, Czech Republic
114 (0.0015578930195658553, 'NKG') Lukou, China
115 (0.0015552119719749, 'YYC') Calgary Intl, Canada
116 (0.0015329288470057587, 'GIG') Galeao Antonio Carlos Jobim, Brazil
117 (0.0015268449879798245, 'POM') Port Moresby Jacksons Intl, Papua New Guinea
118 (0.0015107040946667702, 'TPA') Tampa Intl, United States
119 (0.0015049080472641762, 'DCA') Ronald Reagan Washington Natl, United States
120 (0.0014819363217022047, 'STL') Lambert St Louis Intl, United States
121 (0.001481066280769654, 'SAW') Sabiha Gokcen, Turkey
122 (0.001480105224759106, 'STN') Stansted, United Kingdom
123 (0.0014766605320132842, 'SCL') Arturo Merino Benitez Intl, Chile
124 (0.0014707125854467136, 'VCE') Venezia Tessera, Italy
125 (0.0014643101611253812, 'PPT') Faa\\'a International, French Polynesia
126 (0.0014631391453894618, 'STR') Stuttgart, Germany
127 (0.0014613741874397923, 'ALC') Alicante, Spain
128 (0.0014565615347516309, 'IBZ') Ibiza, Spain
129 (0.0014459353957822678, 'NCE') Cote D\\'Azur, France
130 (0.0014414660098183078, 'HAM') Hamburg, Germany
131 (0.001378052784109607, 'PTY') Tocumen Intl, Panama
132 (0.001377045955139843, 'LYS') Saint Exupery, France
133 (0.001364185596742027, 'WAW') Okecie, Poland
134 (0.0013572495559870943, 'HIR') Honiara International, Solomon Islands
135 (0.0013545365336987676, 'CCS') Simon Bolivar Intl, Venezuela
136 (0.0013489389303940856, 'SAN') San Diego Intl, United States
137 (0.001324733879518833, 'FAI') Fairbanks Intl, United States
138 (0.0013146546292150544, 'LPA') Gran Canaria, Spain
139 (0.0013146215685848018, 'CGO') Xinzheng, China
140 (0.0013085361869397416, 'CCU') Netaji Subhash Chandra Bose Intl, India
141 (0.0013035416184245538, 'MRS') Provence, France
142 (0.001298695135970246, 'TLV') Ben Gurion, Israel
143 (0.0012754686120672936, 'EDI') Edinburgh, United Kingdom
144 (0.0012703644323266742, 'SGN') Tansonnhat Intl, Vietnam
145 (0.0012594142776470056, 'VCP') Viracopos, Brazil
146 (0.0012529702878065823, 'DPS') Bali Ngurah Rai, Indonesia
147 (0.0012509350260397542, 'DLC') Zhoushuizi, China
148 (0.0012474294588883457, 'HER') Nikos Kazantzakis, Greece
149 (0.0012432118991727525, 'CMN') Mohammed V Intl, Morocco
150 (0.0012418206628306333, 'CGN') Koln Bonn, Germany
151 (0.0012036026152401082, 'BHX') Birmingham, United Kingdom
152 (0.0011983481439467604, 'AMM') Queen Alia Intl, Jordan
153 (0.0011975639885461555, 'SHE') Shenyang Taoxian International Airport, China
154 (0.0011865475571410011, 'MAA') Chennai Intl, India
155 (0.0011829233789968586, 'AYT') Antalya, Turkey
156 (0.0011798893164708135, 'JNU') Juneau Intl, United States
157 (0.0011684545163468502, 'DMK') Don Muang Intl, Thailand
158 (0.0011677984272790577, 'SJO') Juan Santamaria Intl, Costa Rica
159 (0.001165596203218224, 'CNS') Cairns Intl, Australia
160 (0.0011563227844498252, 'KWI') Kuwait Intl, Kuwait
161 (0.0011535894688946443, 'YEG') Edmonton Intl, Canada
162 (0.0011504002914891666, 'BLR') Bangalore, India
163 (0.0011460736157241015, 'OTP') Henri Coanda, Romania
164 (0.001131631485297877, 'ALG') Houari Boumediene, Algeria
165 (0.0011276205394941585, 'KBP') Boryspil Intl, Ukraine
166 (0.0011225360349394066, 'TNA') Jinan, China
167 (0.0011202874372567297, 'HRB') Taiping, China
168 (0.0011202098235049698, 'YXL') Sioux Lookout, Canada
169 (0.0011105270326683847, 'EZE') Ministro Pistarini, Argentina
170 (0.0011064369281281548, 'VLI') Port Vila Bauerfield, Vanuatu
171 (0.0011010741882098607, 'RHO') Rhodes Diagoras, Greece
172 (0.0011008834731172487, 'MHD') Mashhad, Iran
173 (0.0010986674311078515, 'VKO') Vnukovo, Russia
174 (0.0010981455914074987, 'SJU') Luis Munoz Marin Intl, Puerto Rico
175 (0.0010980511692874734, 'TFS') Tenerife Sur, Spain
176 (0.0010949688621207545, 'TSN') Binhai, China
177 (0.001087620814005816, 'MCT') Seeb Intl, Oman
178 (0.0010858382012534128, 'KWE') Longdongbao, China
179 (0.0010847817775609552, 'SSA') Deputado Luis Eduardo Magalhaes, Brazil
180 (0.0010844342457256694, 'GLA') Glasgow, United Kingdom
181 (0.0010829438111985973, 'NAN') Nadi Intl, Fiji
182 (0.0010821614237658313, 'RIX') Riga Intl, Latvia
183 (0.0010794764867985613, 'BGY') Bergamo Orio Al Serio, Italy
184 (0.0010766025430065745, 'CLE') Cleveland Hopkins Intl, United States
185 (0.0010645135915887177, 'CNF') Tancredo Neves Intl, Brazil
186 (0.0010516873682514724, 'HAN') Noibai Intl, Vietnam
187 (0.0010502406843389354, 'GEA') Magenta, New Caledonia
188 (0.0010498230680545562, 'UPG') Hasanuddin, Indonesia
189 (0.0010496021145469429, 'SVX') Koltsovo, Russia
190 (0.001044797680433406, 'OME') Nome, United States
191 (0.0010330734939767454, 'MAO') Eduardo Gomes Intl, Brazil
192 (0.0010255613378947043, 'MLA') Luqa, Malta
193 (0.0010154059699018976, 'CEB') Mactan Cebu Intl, Philippines
194 (0.000989658910553623, 'OPO') Porto, Portugal
195 (0.0009895176451483315, 'NNG') Wuxu, China
196 (0.0009894364040807942, 'CTS') New Chitose, Japan
197 (0.0009806692643641924, 'CMB') Bandaranaike Intl Colombo, Sri Lanka
198 (0.0009779098206479562, 'ADL') Adelaide Intl, Australia
199 (0.0009734880372808843, 'SUB') Juanda, Indonesia
200 (0.0009733096864673781, 'TYN') Wusu, China
201 (0.0009708573939116565, 'MCI') Kansas City Intl, United States
202 (0.0009706462754586892, 'GDL') Don Miguel Hidalgo Y Costilla Intl, Mexico
203 (0.0009670732634472503, 'OVB') Tolmachevo, Russia
204 (0.0009569956072655775, 'OTZ') Ralph Wien Mem, United States
205 (0.0009562927117129776, 'FUK') Fukuoka, Japan
206 (0.0009510843060258412, 'YZF') Yellowknife, Canada
207 (0.000950023430453979, 'FOC') Changle, China
208 (0.0009488020398301466, 'DRW') Darwin Intl, Australia
209 (0.0009452208097089591, 'BNA') Nashville Intl, United States
210 (0.0009406145772268265, 'HYD') Hyderabad, India
211 (0.0009369473399480151, 'BUD') Ferihegy, Hungary
212 (0.0009279809679157353, 'HET') Baita Airport, China
213 (0.0009261379153288029, 'TAS') Yuzhny, Uzbekistan
214 (0.0009232068210351984, 'NGO') Chubu Centrair Intl, Japan
215 (0.0009199071824434015, 'BRS') Bristol, United Kingdom
216 (0.000916505328030413, 'HAV') Jose Marti Intl, Cuba
217 (0.0009146092636880068, 'NAS') Lynden Pindling Intl, Bahamas
218 (0.0009145760289980436, 'FAO') Faro, Portugal
219 (0.0009130293645286532, 'HOU') William P Hobby, United States
220 (0.0009103028164164231, 'BSL') EuroAirport Basel-Mulhouse-Freiburg, Switzerland
221 (0.0009057978049308924, 'TUN') Carthage, Tunisia
222 (0.000905042352459876, 'CWB') Afonso Pena, Brazil
223 (0.0009044546506668289, 'POA') Salgado Filho, Brazil
224 (0.0009015107787795908, 'LAD') Luanda 4 De Fevereiro, Angola
225 (0.0008992972578843734, 'CTA') Catania Fontanarossa, Italy
226 (0.0008886232745364356, 'KTM') Tribhuvan Intl, Nepal
227 (0.0008843137404503418, 'KEF') Keflavik International Airport, Iceland
228 (0.00087349029260583, 'CGH') Congonhas, Brazil
229 (0.0008716832883576301, 'LTN') Luton, United Kingdom
230 (0.0008703207325594309, 'BGO') Flesland, Norway
231 (0.0008691495997936467, 'ACE') Lanzarote, Spain
232 (0.0008641644848014271, 'KHI') Jinnah Intl, Pakistan
233 (0.0008593390525954521, 'LCA') Larnaca, Cyprus
234 (0.0008593094530326811, 'PAC') Marcos A Gelabert Intl, Panama
235 (0.0008581184447020771, 'ALA') Almaty, Kazakhstan
236 (0.0008535273178544716, 'WLG') Wellington Intl, New Zealand
237 (0.0008485861676560342, 'BAH') Bahrain Intl, Bahrain
238 (0.0008483674457776174, 'AUS') Austin Bergstrom Intl, United States
239 (0.0008467850222341639, 'OAK') Metropolitan Oakland Intl, United States
240 (0.0008381864184693945, 'DMM') King Fahd Intl, Saudi Arabia
241 (0.0008344013258440117, 'SKG') Makedonia, Greece
242 (0.0008223469773429949, 'PUS') Gimhae Intl, South Korea
243 (0.0008209663975993931, 'CFU') Ioannis Kapodistrias Intl, Greece
244 (0.0008174622760967191, 'PSA') Pisa, Italy
245 (0.0008158342456988068, 'CHC') Christchurch Intl, New Zealand
246 (0.0008150032438329618, 'LOS') Murtala Muhammed, Nigeria
247 (0.0008140318842893282, 'HAK') Meilan, China
248 (0.0008138572405636063, 'TLS') Blagnac, France
249 (0.0008087341304009281, 'DAC') Zia Intl, Bangladesh
250 (0.0008052006288758351, 'SYX') Phoenix International, China
251 (0.0008029852931251076, 'EMA') Nottingham East Midlands, United Kingdom
252 (0.000802892596410064, 'RDU') Raleigh Durham Intl, United States
253 (0.0008025473921224397, 'KHN') Changbei Intl, China
254 (0.0008019861932229397, 'CRL') Brussels South, Belgium
255 (0.0007984751646942967, 'YWG') Winnipeg Intl, Canada
